"id","name","hijri_date","gregorian_date"
"0909f742-161b-4659-aead-b310f23e6a16","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"4762703b-1ccf-4b4c-bee2-80649a0419af","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"980d7d95-4703-43c8-85e5-1ed2481a2094","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"289e61c1-108d-482a-bd10-aaf0defc2d04","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"bce4ca28-f5d8-425f-a181-2d2456ae1851","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"c4988627-425f-43b4-ad81-85d7b9614ed2","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"3c13ec66-9d5f-4b30-a5ed-d08e778964d3","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"b344b750-6588-4879-951e-7f2068b63500","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"5565e61a-f666-4450-96c1-005e1d5ff822","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"990b85a2-e913-4f44-99cb-31921f7b2eb7","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"be62b813-d338-4f4d-94af-75749299aa63","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"3cffb3a0-7a7c-44ed-b86f-423e4edecdfc","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"321e16d5-9dae-4f28-96c9-53266435d98a","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"2bbc701e-b748-4798-aaab-18caf8c53461","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"39f77305-7a4d-4602-bc18-e291c1889d9a","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"1257b8c3-c996-4577-b6db-f51a7424a214","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"59b83869-1740-438a-ba9f-f0e98fb6b5d6","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"7c135467-96b4-4b91-8dcc-0f972b36b377","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"ef1d3215-e1f1-4ca4-aa0b-c9ff6f970017","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"e7a58aa6-d5fc-4793-8a43-59bb9a878d6b","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"3f517db5-d305-491f-8006-79cf6d0748ae","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"121c6c24-3cbe-4f8f-bfd0-2b628ce8ea81","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"170c3995-c7f0-4fef-ab21-0854cde06072","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"c850ad39-2a6f-43e2-986e-ce6977d33a7d","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"ba4067b4-2cb3-4f7b-9e23-837c7c8501be","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"64c2c56f-ffee-4be6-ae34-821c8ed79f7d","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"92d35c64-d8dc-4083-b8d4-c872a6de4226","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"d6210d29-cc4f-4025-935b-cef28c0d6d5a","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"6e3d0fb8-5b7a-4d91-aedf-a45284d448b1","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"f3f6f0ba-9512-42ff-8335-1b41ac65a66f","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"146bed50-558c-4fc1-9423-591adf65f7fe","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"ae180f13-cee4-4eb3-95bb-a676a1f674d3","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"c7f34cc3-357e-47f3-b77e-091319a0f6c3","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"5edbfebf-557a-4e6b-8636-5fbffcc479ad","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"effe311e-840e-4bc8-8309-6e29e9998c50","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"e92e1118-c20c-4adf-b132-3173a4aa4658","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"b95d6ef6-7fdd-4955-80f8-ce20bf9affa4","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"3a4eb1c2-cc7f-4e1e-97c0-566b27e86981","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"39b4d438-03c9-4b1f-9e26-8dbc2d3257db","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"751cd805-f194-46a0-8035-b1630bf16eb4","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"eddd73c8-588a-4d0c-a7de-d447d245d25f","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"c69146c4-dd83-40ad-a2f2-07753d68fc50","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"4c92850d-e91b-4413-85cc-35f4d001a9b3","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"971dbdb8-6ab3-4401-b4eb-954c65e11fe3","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"00b46b22-94db-4f22-9fbf-99ebd97c9390","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"59a404e0-57f2-4eb9-adbe-970aaf340a24","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"42c9cdf3-e6f2-48ad-8058-50f50d0384ee","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"c50042e4-5eb1-4e62-a233-a7ec9a54ac75","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"8b99216c-a104-48d8-8bb4-050df5136ddb","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"01e596cc-dc5f-4263-ae36-2eb3e2446d5e","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"dbef223c-d620-43b0-8daa-99a902966274","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"6d495982-db0d-45a4-98ea-ad5a74efcfe2","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"4bdc2425-dbe8-4271-b37c-ef89e6dc8020","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"68ffd81b-9f2b-4799-bea9-b60c5d58db6a","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"b3058814-ebaa-4fc4-a191-adb7c6147c2e","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"455d8399-67d3-4ef2-b232-1f77509cd929","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"570e55de-ee4b-48e1-885e-ddcbe1024337","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"0709d9bb-481c-4f19-a1be-4ffb62579868","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"524e75e6-96e8-497e-bd05-fab7267bb285","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"ae963a0f-0dec-42a9-97bf-b16b26077df3","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"93c956f2-e0df-4b91-ba1a-a443490d0b36","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"58f71640-f3ef-4dfa-9b70-4ab447f209c6","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"e848efb5-e2e3-480d-a128-dd77ad544634","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"f6427552-01cd-4306-8644-a429713525ab","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"ed3191bf-50af-493d-86fb-d0894fc90fa3","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"17ad880a-89ad-4cf2-a20d-43202810069e","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"666035cf-cab5-42d0-84dd-a5020f70fa26","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"0dd931d8-dc5c-4c50-bbe6-d34ab572624b","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"c05566b5-b6c0-486f-a8f1-405c0daee392","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"b3dea299-ce54-4847-b2e4-b77b644c75e8","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"2fe2fdcd-c8dc-467f-aff6-896ddecf98d6","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"1f54e7fc-1ee0-4503-bf6b-b6ce68630f81","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"0d84d1d2-e612-435f-acc8-49c738742ce5","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"23e9dab5-09be-4ce6-b40a-0195a7d51349","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"cd89298b-4e89-4dec-96c4-d79013027c6d","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"0ad4104c-d352-41bf-9b89-c4c3b99b72d1","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"6bb3d052-7002-4644-bae2-69be3db752bf","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"d73e1a68-5d7b-4bd8-a727-bcd626dcafab","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"d22fed78-44ab-46a1-a755-e5f54f1c918b","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"e90acbee-b732-4083-a8e7-1cc88ad64bdf","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"b87ec8ea-f9ca-4398-ad1b-9af61dedcc05","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"cf88cbb5-f12d-4e14-8a52-606cf2afc490","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"4ca3d5a0-3721-4fc2-9102-85dd430e0472","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"ff07a3a8-6437-412d-9a96-cb5bfe1b949a","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"e598f51d-293c-49b4-acb9-a102fee88fe3","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"448c52d6-c6c7-41f9-805d-618ccd0f9f1d","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"fa774f9f-4251-4172-b09f-1beae1074afa","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"706a9bac-bd6e-4f66-a47b-747486fffa8c","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"ea788bdc-8fb1-4c5a-8427-e65ccfbbbe77","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"97b77c18-dc22-4211-89d6-bc22b1dd20c1","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"61f411f4-b4b7-4d25-b669-4b22efff26f3","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"7a72e975-eea5-4fcc-8872-de111873eab9","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"e67517b1-79bb-4330-850d-6367803a871a","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"9990fa49-9acb-4b8d-b297-6378db0e666d","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"a33fa938-f7e7-4132-8fc7-1fbeef2e8c01","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"69e3618a-4d0d-4102-b9d9-16cb218ac61b","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"54c52e8a-4c85-4221-827b-14eedd39c32f","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"f30b9818-357c-4053-a9bd-c04909309eb4","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"aed27ada-8121-4c29-8a61-a231ec7d24c4","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"058c878e-ae6f-4161-93e0-dc95a263652f","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"2c7c50ce-aeea-42d8-ac77-a6448b599440","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"7a381280-fa5b-4d68-9a15-541399fcc0b2","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"6c19d437-3c02-4f4f-b9e0-0488c568bc5e","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"f34f56d6-98cc-4662-996d-af6d3f732f78","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"e7840c8e-78a5-43db-8f6f-239e3c03fbe6","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"ee3398d5-9e22-4705-be4a-53b8a72e84eb","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"c7b5e980-d3c9-4a54-84d5-dfb0bd599f7a","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"3007cc67-0bce-4c23-8481-9aed750f2d82","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"b8905c63-4f7d-43bf-a602-fcc481cf4619","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"a46c672a-abe4-4cfb-b7c8-3f43b2612c45","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"ca0a461a-e898-4768-afc4-6ce6313daf37","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"16b0f65d-30c9-4982-ae0c-f77a822f1f06","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"35243685-67f4-4fd9-9ed2-412bfdf98cdb","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"138487ff-5a8c-4151-bf5d-59f9e37d50ba","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"40112563-2c53-4dd0-916f-c083bd36fdff","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"504e5e24-e721-4a2a-93af-55cbb520e7c0","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"44693b6e-99b1-46d3-aa77-2f012119f814","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"d54820f1-6586-466a-9bcc-45d490eb4958","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"1b3d9e4a-a298-4450-a30e-9808f89c57c0","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"c48e6801-bbf1-4b79-8760-f23e06819011","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"fb0472a5-1173-45d4-b314-c3c8caa964a5","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"c2765e9f-8ad7-4c17-a961-e2390901846b","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"351cd095-1e29-4610-a666-e80804479143","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"5dcf18fa-3e23-4135-a98b-b7e3c21dc487","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"d8ab7340-5ebf-46d5-a3b2-dc5c71334225","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"97795e69-cef6-4667-88f7-41da95d60b7c","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"3b1b533a-9664-43ab-b218-9ec26ef2ee90","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"d8882cc5-f0e6-447c-b464-398682f58bb8","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"decc74a8-d799-46bd-ad50-9ec192926d3b","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"18d41b8d-3772-41fb-9979-4274de5eb196","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"ea2c7c46-94c5-47d7-b128-8b4d46a7e80a","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"675285af-bb29-4244-a8aa-f0c8615ddc1f","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"24e57f28-3e30-4a1d-8481-221f94d007e3","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"0499df80-614f-4485-8943-e27fa2a4e9e9","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"820f7704-47c4-4006-b4e1-c99f29519f8c","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"bafe537d-2068-435c-bdbd-3ecce5bfb408","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"3fbc5812-bdef-435d-b480-e008212d5fb1","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"d6bc1437-e20f-451f-9e72-21f9ac461213","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"322d0612-a229-4a93-93b0-71b342702d60","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"c7f9502d-7704-4246-b7f5-3727e935321d","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"9b52a197-2f1d-4433-b206-8806f8ff7f62","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"92ef5095-f2f5-4680-94fb-294ebbc5b424","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"3e23b6d8-3aef-438b-ab5b-c52d8220c0d6","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"b3284afc-d37c-40ef-a77c-0ec6396f7edf","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"562d71ed-ddd4-4035-b435-f7921b9c818c","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"fe602746-c36d-473b-be7f-f199dcc3bd3c","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"3c074647-5b49-4aa0-97f8-4418d3f23196","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"78a98b6f-b346-4165-871d-cb493113bae5","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"bd6d95e1-8ded-429c-a9b7-b9e631cfe909","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"332ed672-8382-47fd-9cc1-393635a9d2ba","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"4d825608-b8c4-4762-a095-d7a0a53c99d5","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"d698e530-c326-4471-85f1-bbd3de5dd194","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
